#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         434    -4.75283    -4.77748   0.0136523
         435    -4.66281    -4.77722   0.0136235
         436    -4.66197    -4.77695   0.0135948
         437     -4.7278    -4.77684   0.0135641
         438    -4.72768    -4.77673   0.0135336
         439    -4.80415    -4.77679    0.013503
         440    -4.71931    -4.77666   0.0134729
         441    -4.76202    -4.77663   0.0134424
         442    -4.85747    -4.77681   0.0134132
         443    -4.81063    -4.77689   0.0133832
         444    -4.84069    -4.77703   0.0133538
         445    -4.88291    -4.77727   0.0133259
         446     -4.9137    -4.77758   0.0132995
         447    -4.85597    -4.77775   0.0132709
         448    -4.88548    -4.77799   0.0132435
         449    -4.88152    -4.77822    0.013216
         450    -4.76495    -4.77819   0.0131867
         451    -4.72431    -4.77807    0.013158
         452    -4.80381    -4.77813    0.013129
         453    -4.73105    -4.77803   0.0131004
         454     -4.8311    -4.77814   0.0130721
         455    -4.91763    -4.77845   0.0130469
         456    -4.75952    -4.77841   0.0130184
         457    -4.86816     -4.7786   0.0129914
         458    -4.67667    -4.77838   0.0129649
         459    -4.67429    -4.77815   0.0129387
         460     -4.6841    -4.77795   0.0129122
         461    -4.76855    -4.77793   0.0128842
         462    -4.78866    -4.77795   0.0128563
         463    -4.83147    -4.77807   0.0128291
         464    -4.60097    -4.77769   0.0128071
         465    -4.90465    -4.77796   0.0127825
         466    -4.79067    -4.77799    0.012755
         467    -4.81851    -4.77807    0.012728
         468    -4.84012    -4.77821   0.0127015
         469    -4.77053    -4.77819   0.0126745
         470    -4.67001    -4.77796   0.0126496
         471     -4.6365    -4.77766   0.0126263
         472    -4.70637    -4.77751   0.0126004
         473     -4.7288    -4.77741   0.0125742
         474     -4.6746    -4.77719   0.0125496
         475    -4.78438     -4.7772   0.0125232
         476    -4.70285    -4.77705   0.0124978
         477    -4.70277    -4.77689   0.0124726
         478    -4.76622    -4.77687   0.0124465
         479    -4.89255    -4.77711   0.0124229
         480    -4.84384    -4.77725   0.0123978
         481    -4.82336    -4.77735   0.0123724
         482    -4.62936    -4.77704   0.0123505
         483    -4.68463    -4.77685   0.0123264
         484    -4.81355    -4.77692   0.0123012
         485    -4.84071    -4.77706   0.0122765
         486    -4.75294    -4.77701   0.0122514
         487    -4.94456    -4.77735    0.012231
         488    -4.90434    -4.77761   0.0122087
         489    -5.04941    -4.77817   0.0121964
         490     -5.0042    -4.77863   0.0121802
