#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         632     1.17901     1.18166  0.00945375
         633     1.17902     1.18166  0.00943882
         634     1.17902     1.18165  0.00942393
         635     1.17901     1.18165  0.00940909
         636     1.17897     1.18165   0.0093943
         637     1.17892     1.18164  0.00937955
         638     1.17883     1.18164  0.00936485
         639     1.17872     1.18163   0.0093502
         640     1.17858     1.18163  0.00933559
         641      1.1784     1.18162  0.00932102
         642     1.17818     1.18162  0.00930651
         643     1.17792     1.18161  0.00929204
         644     1.17763     1.18161  0.00927761
         645      1.1773      1.1816  0.00926323
         646     1.17694     1.18159  0.00924889
         647     1.17655     1.18158   0.0092346
         648     1.17613     1.18158  0.00922035
         649     1.17569     1.18157  0.00920615
         650     1.17524     1.18156  0.00919199
         651     1.17479     1.18155  0.00917788
         652     1.17433     1.18154  0.00916381
         653     1.17389     1.18152  0.00914978
         654     1.17346     1.18151   0.0091358
         655     1.17306      1.1815  0.00912186
         656     1.17268     1.18148  0.00910797
         657     1.17234     1.18147  0.00909411
         658     1.17204     1.18146   0.0090803
         659     1.17177     1.18144  0.00906654
         660     1.17153     1.18143  0.00905281
         661     1.17134     1.18141  0.00903913
         662     1.17118      1.1814  0.00902549
         663     1.17104     1.18138  0.00901189
         664     1.17093     1.18136  0.00899833
         665     1.17084     1.18135  0.00898481
         666     1.17075     1.18133  0.00897134
         667     1.17066     1.18132   0.0089579
         668     1.17057      1.1813   0.0089445
         669     1.17046     1.18128  0.00893115
         670     1.17033     1.18127  0.00891783
         671     1.17017     1.18125  0.00890456
         672     1.16999     1.18123  0.00889132
         673     1.16976     1.18122  0.00887813
         674     1.16951      1.1812  0.00886497
         675     1.16921     1.18118  0.00885186
         676     1.16888     1.18116  0.00883878
         677     1.16852     1.18115  0.00882575
         678     1.16813     1.18113  0.00881275
         679     1.16772     1.18111  0.00879979
         680     1.16728     1.18109  0.00878688
         681     1.16684     1.18107    0.008774
         682      1.1664     1.18104  0.00876116
         683     1.16597     1.18102  0.00874836
         684     1.16556       1.181   0.0087356
         685     1.16517     1.18098  0.00872288
         686     1.16483     1.18095  0.00871019
         687     1.16454     1.18093  0.00869755
         688      1.1643      1.1809  0.00868494
         689     1.16414     1.18088  0.00867237
         690     1.16405     1.18086  0.00865983
         691     1.16405     1.18083  0.00864733
         692     1.16415     1.18081  0.00863487
         693     1.16435     1.18078  0.00862244
         694     1.16465     1.18076  0.00861005
         695     1.16506     1.18074  0.00859769
         696     1.16558     1.18072  0.00858537
         697     1.16621      1.1807  0.00857307
         698     1.16696     1.18068  0.00856082
         699     1.16781     1.18066  0.00854859
         700     1.16878     1.18064  0.00853639
         701     1.16984     1.18062  0.00852423
         702     1.17099     1.18061   0.0085121
