#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         381       -0.92   -0.886824  0.00372357
         382       -0.92   -0.886911  0.00371484
         383       -0.92   -0.886997  0.00370614
         384       -0.92   -0.887083  0.00369749
         385       -0.84   -0.886961  0.00368991
         386       -0.84   -0.886839  0.00368235
         387       -0.84   -0.886718  0.00367483
         388       -0.92   -0.886804  0.00366636
         389       -0.84   -0.886684   0.0036589
         390       -0.84   -0.886564  0.00365148
         391       -0.84   -0.886445  0.00364408
         392       -0.84   -0.886327  0.00363671
         393       -0.84   -0.886209  0.00362937
         394       -0.84   -0.886091  0.00362205
         395       -0.92   -0.886177   0.0036139
         396       -0.92   -0.886263  0.00360578
         397       -0.92   -0.886348   0.0035977
         398       -0.92   -0.886432  0.00358965
         399       -0.92   -0.886516  0.00358164
         400       -0.92     -0.8866  0.00357367
         401       -0.92   -0.886683  0.00356573
         402       -0.92   -0.886766  0.00355782
         403       -0.92   -0.886849  0.00354995
         404       -0.92   -0.886931  0.00354211
         405       -0.92   -0.887012   0.0035343
         406       -0.84   -0.886897  0.00352749
         407       -0.84   -0.886781  0.00352071
         408       -0.84   -0.886667  0.00351395
         409       -0.76   -0.886357  0.00351898
         410       -0.76   -0.886049  0.00352386
         411       -0.76   -0.885742  0.00352861
         412       -0.76   -0.885437  0.00353322
         413       -0.84   -0.885327  0.00352638
         414       -0.84   -0.885217  0.00351956
         415       -0.92   -0.885301  0.00351207
         416       -0.92   -0.885385  0.00350462
         417       -0.92   -0.885468   0.0034972
         418       -0.92    -0.88555  0.00348981
         419       -0.92   -0.885632  0.00348245
         420       -0.92   -0.885714  0.00347512
         421       -0.92   -0.885796  0.00346782
         422       -0.92   -0.885877  0.00346055
         423       -0.92   -0.885957  0.00345331
         424       -0.92   -0.886038   0.0034461
         425       -0.92   -0.886118  0.00343891
         426       -0.92   -0.886197  0.00343176
         427       -0.92   -0.886276  0.00342464
         428       -0.92   -0.886355  0.00341754
         429       -0.92   -0.886434  0.00341047
         430       -0.92   -0.886512  0.00340344
         431       -0.92   -0.886589  0.00339643
         432       -0.92   -0.886667  0.00338945
         433       -0.92   -0.886744  0.00338249
         434       -0.92    -0.88682  0.00337557
         435       -0.92   -0.886897  0.00336867
         436       -0.92   -0.886972   0.0033618
         437       -0.92   -0.887048  0.00335495
         438       -0.92   -0.887123  0.00334814
         439       -0.92   -0.887198  0.00334135
         440       -0.92   -0.887273  0.00333459
         441       -0.92   -0.887347  0.00332785
         442       -0.92   -0.887421  0.00332114
         443       -0.92   -0.887494  0.00331446
         444       -0.92   -0.887568   0.0033078
