#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         388      1.3207     1.32096  0.00303088
         389     1.27908     1.32085    0.003025
         390     1.27935     1.32075  0.00301912
         391      1.2897     1.32067  0.00301244
         392      1.2746     1.32055  0.00300705
         393     1.28684     1.32046  0.00300062
         394     1.31371     1.32045  0.00299305
         395     1.32253     1.32045  0.00298548
         396     1.33991      1.3205  0.00297834
         397     1.33822     1.32055  0.00297118
         398     1.30573     1.32051  0.00296394
         399     1.27173     1.32039  0.00295904
         400     1.28689      1.3203  0.00295282
         401     1.30064     1.32025  0.00294587
         402     1.30836     1.32023  0.00293869
         403     1.33905     1.32027  0.00293177
         404     1.31516     1.32026  0.00292454
         405     1.29869     1.32021   0.0029178
         406     1.29769     1.32015  0.00291114
         407     1.33079     1.32018  0.00290411
         408     1.30748     1.32015  0.00289715
         409     1.30164      1.3201  0.00289042
         410     1.30594     1.32007  0.00288358
         411      1.3422     1.32012  0.00287707
         412     1.30126     1.32007  0.00287045
         413     1.32565     1.32009  0.00286353
         414     1.32287     1.32009  0.00285662
         415      1.2857     1.32001  0.00285094
         416     1.29276     1.31995  0.00284484
         417     1.29321     1.31988  0.00283874
         418     1.28825     1.31981  0.00283296
         419     1.31567      1.3198  0.00282621
         420     1.29115     1.31973  0.00282031
         421     1.30669      1.3197  0.00281378
         422     1.29771     1.31964  0.00280759
         423     1.32157     1.31965  0.00280096
         424       1.345     1.31971  0.00279499
         425     1.35914      1.3198  0.00278995
         426     1.34119     1.31985  0.00278386
         427     1.31819     1.31985  0.00277734
         428     1.30233     1.31981  0.00277115
         429     1.30007     1.31976  0.00276507
         430     1.31953     1.31976  0.00275864
         431      1.3342     1.31979  0.00275245
         432     1.37062     1.31991  0.00274859
         433     1.36292     1.32001  0.00274403
         434      1.3485     1.32008   0.0027385
         435     1.37345      1.3202  0.00273495
         436      1.3234     1.32021  0.00272869
         437     1.29964     1.32016  0.00272285
         438     1.29647     1.32011  0.00271717
         439     1.30748     1.32008  0.00271113
         440     1.30509     1.32004  0.00270518
         441     1.27368     1.31994  0.00270109
         442      1.2706     1.31983  0.00269729
         443     1.28595     1.31975  0.00269228
         444     1.32805     1.31977  0.00268628
         445     1.31018     1.31975  0.00268033
         446     1.32909     1.31977   0.0026744
         447      1.3064     1.31974  0.00266859
         448     1.28661     1.31966  0.00266366
