#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         317       -0.28   -0.450599  0.00686711
         318       -0.52   -0.450818  0.00684899
         319       -0.44   -0.450784   0.0068276
         320       -0.52      -0.451  0.00680969
         321       -0.36   -0.450717  0.00679437
         322        -0.6    -0.45118  0.00678907
         323       -0.52   -0.451393   0.0067714
         324       -0.52   -0.451605  0.00675381
         325       -0.44   -0.451569  0.00673312
         326       -0.44   -0.451534  0.00671256
         327       -0.52   -0.451743   0.0066953
         328       -0.52   -0.451951  0.00667812
         329       -0.52   -0.452158  0.00666102
         330       -0.44   -0.452121  0.00664094
         331       -0.44   -0.452085  0.00662098
         332       -0.36   -0.451807  0.00660684
         333        -0.6   -0.452252  0.00660197
         334        -0.6   -0.452695  0.00659701
         335       -0.68   -0.453373  0.00661212
         336       -0.44   -0.453333  0.00659256
         337       -0.44   -0.453294  0.00657311
         338       -0.52   -0.453491  0.00655663
         339        -0.6   -0.453923  0.00655152
         340       -0.44   -0.453882  0.00653238
         341       -0.44   -0.453842  0.00651335
         342       -0.52   -0.454035  0.00649717
         343       -0.36   -0.453761  0.00648401
         344       -0.44   -0.453721  0.00646529
         345       -0.68   -0.454377  0.00647973
         346        -0.6   -0.454798  0.00647466
         347       -0.28   -0.454294  0.00647556
         348       -0.28   -0.453793   0.0064763
         349       -0.44   -0.453754  0.00645786
         350        -0.2   -0.453029  0.00647998
         351       -0.36   -0.452764  0.00646693
         352       -0.36     -0.4525  0.00645393
         353       -0.44   -0.452465  0.00643574
         354       -0.44   -0.452429  0.00641766
         355       -0.52    -0.45262   0.0064024
         356       -0.28   -0.452135  0.00640276
         357       -0.52   -0.452325  0.00638764
         358       -0.36   -0.452067    0.006375
         359       -0.52   -0.452256  0.00636005
         360       -0.44   -0.452222  0.00634248
         361        -0.6   -0.452632  0.00633811
         362       -0.52   -0.452818  0.00632333
         363       -0.36   -0.452562  0.00631108
         364       -0.44   -0.452527  0.00629383
         365       -0.52   -0.452712   0.0062793
         366       -0.52   -0.452896  0.00626484
         367       -0.28   -0.452425  0.00626546
         368       -0.44   -0.452391  0.00624852
         369        -0.2   -0.451707  0.00626891
         370       -0.52   -0.451892  0.00625468
         371       -0.52   -0.452075  0.00624052
         372       -0.52   -0.452258  0.00622641
         373       -0.52    -0.45244  0.00621237
         374        -0.6   -0.452834  0.00620828
         375       -0.28   -0.452373   0.0062088
         376       -0.36   -0.452128  0.00619715
         377       -0.44   -0.452095   0.0061808
         378       -0.52   -0.452275  0.00616705
         379        -0.6   -0.452665  0.00616309
         380       -0.36   -0.452421  0.00615169
         381       -0.68   -0.453018  0.00616448
         382       -0.28   -0.452565  0.00616496
         383       -0.68   -0.453159  0.00617739
         384       -0.52   -0.453333  0.00616376
         385       -0.44   -0.453299  0.00614784
         386       -0.44   -0.453264  0.00613201
         387       -0.28   -0.452817  0.00613249
         388       -0.36   -0.452577  0.00612135
         389       -0.36   -0.452339  0.00611024
         390       -0.52   -0.452513  0.00609703
         391       -0.52   -0.452685  0.00608388
         392       -0.44   -0.452653  0.00606845
         393       -0.44   -0.452621  0.00605309
         394       -0.52   -0.452792  0.00604014
         395       -0.36   -0.452557  0.00602942
         396       -0.52   -0.452727   0.0060166
         397        -0.6   -0.453098  0.00601287
         398       -0.52   -0.453266  0.00600011
         399       -0.44   -0.453233  0.00598516
         400       -0.52     -0.4534  0.00597253
         401       -0.36   -0.453167  0.00596217
         402       -0.68   -0.453731  0.00597398
         403       -0.68   -0.454293  0.00598549
         404       -0.68   -0.454851  0.00599669
         405       -0.84   -0.455802  0.00605682
         406        -0.6   -0.456158   0.0060523
         407       -0.44   -0.456118  0.00603756
         408        -0.6   -0.456471  0.00603306
         409       -0.52   -0.456626   0.0060203
         410       -0.52    -0.45678   0.0060076
         411       -0.28    -0.45635  0.00600837
         412       -0.36   -0.456117  0.00599833
         413       -0.44   -0.456077  0.00598393
         414       -0.44   -0.456039  0.00596961
         415       -0.36   -0.455807  0.00595971
         416       -0.36   -0.455577  0.00594983
         417        -0.6   -0.455923  0.00594563
         418       -0.44   -0.455885  0.00593153
         419       -0.68    -0.45642  0.00594144
         420       -0.76   -0.457143   0.0059711
         421       -0.52   -0.457292  0.00595878
         422       -0.68    -0.45782  0.00596799
         423        -0.6   -0.458156  0.00596334
         424       -0.44   -0.458113  0.00594943
         425       -0.44   -0.458071  0.00593558
         426       -0.52   -0.458216  0.00592343
         427       -0.36   -0.457986  0.00591402
         428        -0.6   -0.458318   0.0059095
         429       -0.36   -0.458089  0.00590017
         430       -0.36    -0.45786  0.00589085
         431        -0.2   -0.457262  0.00590749
         432       -0.36   -0.457037   0.0058981
         433       -0.44   -0.456998  0.00588461
         434       -0.36   -0.456774   0.0058753
         435       -0.28   -0.456368  0.00587583
         436       -0.28   -0.455963  0.00587626
         437       -0.44   -0.455927  0.00586293
         438       -0.52   -0.456073  0.00585137
         439        -0.6   -0.456401  0.00584721
         440        -0.6   -0.456727  0.00584303
         441       -0.36   -0.456508  0.00583389
         442       -0.36    -0.45629  0.00582478
         443        -0.2   -0.455711  0.00584029
         444        -0.6   -0.456036  0.00583617
         445       -0.36    -0.45582  0.00582704
         446       -0.36   -0.455605  0.00581794
         447       -0.36   -0.455391  0.00580885
         448       -0.52   -0.455536  0.00579768
         449       -0.36   -0.455323  0.00578867
         450       -0.28   -0.454933   0.0057889
         451        -0.2   -0.454368   0.0058036
         452       -0.28   -0.453982  0.00580356
         453       -0.28   -0.453598  0.00580345
         454       -0.44   -0.453568  0.00579074
         455       -0.44   -0.453538  0.00577809
         456       -0.36   -0.453333  0.00576906
         457       -0.52   -0.453479  0.00575828
         458       -0.52   -0.453624  0.00574754
         459       -0.44   -0.453595  0.00573509
         460       -0.52   -0.453739  0.00572444
         461       -0.52   -0.453883  0.00571383
         462        -0.6   -0.454199  0.00571021
         463        -0.6   -0.454514  0.00570655
         464       -0.44   -0.454483  0.00569434
         465       -0.36    -0.45428  0.00568572
         466       -0.44   -0.454249   0.0056736
         467       -0.44   -0.454218  0.00566153
         468        -0.6    -0.45453    0.005658
         469       -0.68   -0.455011  0.00566632
         470       -0.52   -0.455149  0.00565595
         471        -0.6   -0.455456   0.0056523
         472       -0.44   -0.455424  0.00564042
         473       -0.76   -0.456068  0.00566513
         474       -0.52   -0.456203  0.00565478
         475       -0.36      -0.456   0.0056465
         476       -0.44   -0.455966  0.00563474
         477        -0.6   -0.456268  0.00563101
         478        -0.6   -0.456569  0.00562725
         479        -0.6   -0.456868  0.00562347
         480       -0.44   -0.456833  0.00561186
         481        -0.6   -0.457131  0.00560808
         482        -0.6   -0.457427  0.00560428
         483       -0.68   -0.457888  0.00561159
         484       -0.52   -0.458017  0.00560146
         485       -0.44   -0.457979  0.00559003
         486       -0.36   -0.457778  0.00558216
         487       -0.36   -0.457577  0.00557431
         488       -0.36   -0.457377  0.00556647
         489       -0.36   -0.457178  0.00555865
