#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         469     1.95583     1.97913  0.00384072
         470     1.95253     1.97907  0.00383296
         471     1.95829     1.97903  0.00382508
         472     1.93745     1.97894  0.00381799
         473     1.94091     1.97886  0.00381076
         474      1.9275     1.97875  0.00380426
         475     1.95753     1.97871  0.00379652
         476      1.9465     1.97864  0.00378914
         477     1.92729     1.97853  0.00378273
         478     1.94646     1.97846  0.00377541
         479     1.94072     1.97838  0.00376835
         480     1.94054     1.97831  0.00376132
         481     1.96522     1.97828   0.0037536
         482     1.98999      1.9783  0.00374589
         483     1.95675     1.97826   0.0037384
         484     1.92115     1.97814  0.00373254
         485     1.94211     1.97807  0.00372558
         486     1.95703     1.97802  0.00371817
         487     1.97212     1.97801  0.00371055
         488     2.00721     1.97807  0.00370343
         489     1.99122      1.9781  0.00369596
         490     1.99109     1.97812  0.00368851
         491     1.99364     1.97815  0.00368113
         492     1.98925     1.97818  0.00367372
         493     1.99915     1.97822  0.00366651
         494     2.01683      1.9783  0.00365993
         495     2.00846     1.97836  0.00365304
         496     2.03615     1.97848  0.00364753
         497     2.02576     1.97857  0.00364143
         498     1.97749     1.97857  0.00363412
         499     1.98099     1.97857  0.00362684
         500     1.98379     1.97858   0.0036196
